Key,Summary,Issue Type,Priority,Status,Story Points,Component,Labels,Assignee,Reporter,Description,Steps,Expected Result,Test Type,Test Data
TC-11,Verify Session Management - Delete Dropdown is required with empty data,Test Case,Medium,To Do,3,Web App,"Session Management,Usability,Regression",Automation Team,QA Team,"Verify Session Management - Delete Dropdown is required with empty data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Delete Dropdown field
3. Leave Dropdown with test data
4. Submit Cancel button
5. Verify is required

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Delete Dropdown field
3. Leave Dropdown with test data
4. Submit Cancel button
5. Verify is required",Success message is displayed,Usability,Boundary
TC-12,Verify Authorization - Refresh Confirm Password is not selected during network failure,Test Case,High,To Do,4,Web App,"Authorization,Compatibility,Regression",Unassigned,QA Team,"Verify Authorization - Refresh Confirm Password is not selected during network failure

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Refresh Confirm Password field
3. Fill in Confirm Password with test data
4. Click Cancel button
5. Verify is not selected

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Refresh Confirm Password field
3. Fill in Confirm Password with test data
4. Click Cancel button
5. Verify is not selected",Success message is displayed,Compatibility,Boundary
TC-13,Verify AJAX Calls - Submit Date of Birth is selected with SQL injection,Test Case,High,To Do,3,Web App,"AJAX Calls,State Transition,Regression",QA Team,QA Team,"Verify AJAX Calls - Submit Date of Birth is selected with SQL injection

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Submit Date of Birth field
3. Fill in Date of Birth with test data
4. Submit Next button
5. Verify is selected

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Submit Date of Birth field
3. Fill in Date of Birth with test data
4. Submit Next button
5. Verify is selected",Success message is displayed,State Transition,Null
TC-14,Verify Buttons - Click File Upload is greater than with special characters,Test Case,High,To Do,1,Web App,"Buttons,Decision Table,Regression",QA Team,QA Team,"Verify Buttons - Click File Upload is greater than with special characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Click File Upload field
3. Fill in File Upload with test data
4. Submit Save button
5. Verify is greater than

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Click File Upload field
3. Fill in File Upload with test data
4. Submit Save button
5. Verify is greater than",Data is saved successfully,Decision Table,Valid
TC-15,Verify Session Management - Clear Checkbox is checked with concurrent requests,Test Case,Low,To Do,5,Web App,"Session Management,Positive,Regression",QA Team,QA Team,"Verify Session Management - Clear Checkbox is checked with concurrent requests

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Clear Checkbox field
3. Fill in Checkbox with test data
4. Select Cancel button
5. Verify is checked

**Expected Result:** User is redirected to dashboard","1. Navigate to app.vwo.com
2. Clear Checkbox field
3. Fill in Checkbox with test data
4. Select Cancel button
5. Verify is checked",User is redirected to dashboard,Positive,Invalid
TC-16,Verify Tablet View - Validate Email is selected with special characters,Test Case,Medium,To Do,8,Web App,"Tablet View,Decision Table,Regression",Unassigned,QA Team,"Verify Tablet View - Validate Email is selected with special characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Validate Email field
3. Fill in Email with test data
4. Select Login button
5. Verify is selected

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Validate Email field
3. Fill in Email with test data
4. Select Login button
5. Verify is selected",Success message is displayed,Decision Table,Boundary
TC-17,Verify Local Storage - Click Country is not selected with browser back button,Test Case,Medium,To Do,2,Web App,"Local Storage,State Transition,Regression",Unassigned,QA Team,"Verify Local Storage - Click Country is not selected with browser back button

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Click Country field
3. Clear Country with test data
4. Select Submit button
5. Verify is not selected

**Expected Result:** Error message 'Access denied' is displayed","1. Navigate to app.vwo.com
2. Click Country field
3. Clear Country with test data
4. Select Submit button
5. Verify is not selected",Error message 'Access denied' is displayed,State Transition,Invalid
TC-18,Verify Timeouts - Enter Password is required with empty data,Test Case,High,To Do,7,Web App,"Timeouts,State Transition,Regression",Automation Team,QA Team,"Verify Timeouts - Enter Password is required with empty data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Enter Password field
3. Leave Password with test data
4. Click Submit button
5. Verify is required

**Expected Result:** Error message 'Invalid URL' is displayed","1. Navigate to app.vwo.com
2. Enter Password field
3. Leave Password with test data
4. Click Submit button
5. Verify is required",Error message 'Invalid URL' is displayed,State Transition,Invalid
TC-19,Verify Email Verification - Click File Upload is optional during network failure,Test Case,High,To Do,4,Web App,"Email Verification,Boundary,Regression",Automation Team,QA Team,"Verify Email Verification - Click File Upload is optional during network failure

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Click File Upload field
3. Leave File Upload with test data
4. Select Next button
5. Verify is optional

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Click File Upload field
3. Leave File Upload with test data
4. Select Next button
5. Verify is optional",Success message is displayed,Boundary,Boundary
TC-20,Verify Input Fields - Drop Answer is valid with slow connection,Test Case,Low,To Do,2,Web App,"Input Fields,Regression,Regression",Unassigned,QA Team,"Verify Input Fields - Drop Answer is valid with slow connection

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Drop Answer field
3. Leave Answer with test data
4. Submit Login button
5. Verify is valid

**Expected Result:** Answer is valid","1. Navigate to app.vwo.com
2. Drop Answer field
3. Leave Answer with test data
4. Submit Login button
5. Verify is valid",Answer is valid,Regression,Valid
TC-21,Verify Warning Messages - Delete Email is optional with valid data,Test Case,High,To Do,7,Web App,"Warning Messages,Usability,Regression",QA Team,QA Team,"Verify Warning Messages - Delete Email is optional with valid data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Delete Email field
3. Leave Email with test data
4. Select Submit button
5. Verify is optional

**Expected Result:** Validation error is shown","1. Navigate to app.vwo.com
2. Delete Email field
3. Leave Email with test data
4. Select Submit button
5. Verify is optional",Validation error is shown,Usability,Boundary
TC-22,Verify Safari - Upload Text Area equals with trailing spaces,Test Case,Medium,To Do,8,Web App,"Safari,UI,Regression",Unassigned,QA Team,"Verify Safari - Upload Text Area equals with trailing spaces

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Upload Text Area field
3. Fill in Text Area with test data
4. Click Next button
5. Verify equals

**Expected Result:** Text Area equals","1. Navigate to app.vwo.com
2. Upload Text Area field
3. Fill in Text Area with test data
4. Click Next button
5. Verify equals",Text Area equals,UI,Invalid
TC-23,Verify Access Control - Clear Checkbox is displayed with expired session,Test Case,Low,To Do,4,Web App,"Access Control,Exploratory,Regression",Unassigned,QA Team,"Verify Access Control - Clear Checkbox is displayed with expired session

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Clear Checkbox field
3. Leave Checkbox with test data
4. Click Cancel button
5. Verify is displayed

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Clear Checkbox field
3. Leave Checkbox with test data
4. Click Cancel button
5. Verify is displayed",Success message is displayed,Exploratory,Boundary
TC-24,Verify Cache - Clear Last Name is visible with minimum characters,Test Case,High,To Do,8,Web App,"Cache,UI,Regression",Automation Team,QA Team,"Verify Cache - Clear Last Name is visible with minimum characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Clear Last Name field
3. Leave Last Name with test data
4. Select Register button
5. Verify is visible

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Clear Last Name field
3. Leave Last Name with test data
4. Select Register button
5. Verify is visible",Success message is displayed,UI,Null
TC-25,Verify Network Requests - Hover State is outside range with invalid data,Test Case,Medium,To Do,5,Web App,"Network Requests,Decision Table,Regression",QA Team,QA Team,"Verify Network Requests - Hover State is outside range with invalid data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Hover State field
3. Clear State with test data
4. Submit Cancel button
5. Verify is outside range

**Expected Result:** State is outside range","1. Navigate to app.vwo.com
2. Hover State field
3. Clear State with test data
4. Submit Cancel button
5. Verify is outside range",State is outside range,Decision Table,Invalid
TC-26,Verify Password Reset - Submit Company Name is less than with trailing spaces,Test Case,Low,To Do,2,Web App,"Password Reset,State Transition,Regression",QA Team,QA Team,"Verify Password Reset - Submit Company Name is less than with trailing spaces

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Submit Company Name field
3. Leave Company Name with test data
4. Select Submit button
5. Verify is less than

**Expected Result:** User is redirected to dashboard","1. Navigate to app.vwo.com
2. Submit Company Name field
3. Leave Company Name with test data
4. Select Submit button
5. Verify is less than",User is redirected to dashboard,State Transition,Valid
TC-27,Verify Chrome - Drop Company Name is optional with XSS,Test Case,Low,To Do,3,Web App,"Chrome,Decision Table,Regression",QA Team,QA Team,"Verify Chrome - Drop Company Name is optional with XSS

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Drop Company Name field
3. Clear Company Name with test data
4. Submit Login button
5. Verify is optional

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Drop Company Name field
3. Clear Company Name with test data
4. Submit Login button
5. Verify is optional",Data is saved successfully,Decision Table,Invalid
TC-28,Verify Session Storage - Scroll Country is outside range with duplicate data,Test Case,High,To Do,2,Web App,"Session Storage,Negative,Regression",Unassigned,QA Team,"Verify Session Storage - Scroll Country is outside range with duplicate data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Scroll Country field
3. Leave Country with test data
4. Submit Register button
5. Verify is outside range

**Expected Result:** Country is outside range","1. Navigate to app.vwo.com
2. Scroll Country field
3. Leave Country with test data
4. Submit Register button
5. Verify is outside range",Country is outside range,Negative,Invalid
TC-29,Verify Login - Download Password is enabled with XSS,Test Case,High,To Do,2,Web App,"Login,Usability,Regression",Automation Team,QA Team,"Verify Login - Download Password is enabled with XSS

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Download Password field
3. Leave Password with test data
4. Click Save button
5. Verify is enabled

**Expected Result:** Error message 'Passwords do not match' is displayed","1. Navigate to app.vwo.com
2. Download Password field
3. Leave Password with test data
4. Click Save button
5. Verify is enabled",Error message 'Passwords do not match' is displayed,Usability,Null
TC-30,Verify Session Storage - Maximize Company Name is expanded with valid data,Test Case,Medium,To Do,8,Web App,"Session Storage,Decision Table,Regression",Automation Team,QA Team,"Verify Session Storage - Maximize Company Name is expanded with valid data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Maximize Company Name field
3. Fill in Company Name with test data
4. Click Cancel button
5. Verify is expanded

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Maximize Company Name field
3. Fill in Company Name with test data
4. Click Cancel button
5. Verify is expanded",Data is saved successfully,Decision Table,Valid
TC-31,Verify Navigation - Clear Email is visible with empty data,Test Case,Low,To Do,3,Web App,"Navigation,Functional,Regression",QA Team,QA Team,"Verify Navigation - Clear Email is visible with empty data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Clear Email field
3. Leave Email with test data
4. Select Save button
5. Verify is visible

**Expected Result:** Email is visible","1. Navigate to app.vwo.com
2. Clear Email field
3. Leave Email with test data
4. Select Save button
5. Verify is visible",Email is visible,Functional,Null
TC-32,Verify API Response Time - Click Email is unchecked with concurrent requests,Test Case,Medium,To Do,3,Web App,"API Response Time,Usability,Regression",Automation Team,QA Team,"Verify API Response Time - Click Email is unchecked with concurrent requests

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Click Email field
3. Fill in Email with test data
4. Submit Submit button
5. Verify is unchecked

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Click Email field
3. Fill in Email with test data
4. Submit Submit button
5. Verify is unchecked",Data is saved successfully,Usability,Valid
TC-33,Verify Authorization - Focus Date of Birth is valid with browser close,Test Case,Medium,To Do,1,Web App,"Authorization,Functional,Regression",Unassigned,QA Team,"Verify Authorization - Focus Date of Birth is valid with browser close

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Focus Date of Birth field
3. Leave Date of Birth with test data
4. Select Register button
5. Verify is valid

**Expected Result:** Error message 'Email already exists' is displayed","1. Navigate to app.vwo.com
2. Focus Date of Birth field
3. Leave Date of Birth with test data
4. Select Register button
5. Verify is valid",Error message 'Email already exists' is displayed,Functional,Invalid
TC-34,Verify Success Messages - Edit Confirm Password is invalid during network failure,Test Case,High,To Do,8,Web App,"Success Messages,Usability,Regression",QA Team,QA Team,"Verify Success Messages - Edit Confirm Password is invalid during network failure

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Edit Confirm Password field
3. Leave Confirm Password with test data
4. Click Next button
5. Verify is invalid

**Expected Result:** User is redirected to dashboard","1. Navigate to app.vwo.com
2. Edit Confirm Password field
3. Leave Confirm Password with test data
4. Click Next button
5. Verify is invalid",User is redirected to dashboard,Usability,Invalid
TC-35,Verify Edge - Focus Search Box does not contain with duplicate data,Test Case,Low,To Do,7,Web App,"Edge,Decision Table,Regression",QA Team,QA Team,"Verify Edge - Focus Search Box does not contain with duplicate data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Focus Search Box field
3. Clear Search Box with test data
4. Select Cancel button
5. Verify does not contain

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Focus Search Box field
3. Clear Search Box with test data
4. Select Cancel button
5. Verify does not contain",Success message is displayed,Decision Table,Valid
TC-36,Verify Tablet View - Blur State is disabled with multiple tabs,Test Case,High,To Do,3,Web App,"Tablet View,Equivalence Partitioning,Regression",Unassigned,QA Team,"Verify Tablet View - Blur State is disabled with multiple tabs

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Blur State field
3. Leave State with test data
4. Click Next button
5. Verify is disabled

**Expected Result:** User is redirected to dashboard","1. Navigate to app.vwo.com
2. Blur State field
3. Leave State with test data
4. Click Next button
5. Verify is disabled",User is redirected to dashboard,Equivalence Partitioning,Invalid
TC-37,Verify Login - Upload Email is enabled with empty data,Test Case,Low,To Do,7,Web App,"Login,Positive,Regression",Automation Team,QA Team,"Verify Login - Upload Email is enabled with empty data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Upload Email field
3. Leave Email with test data
4. Select Save button
5. Verify is enabled

**Expected Result:** User is redirected to dashboard","1. Navigate to app.vwo.com
2. Upload Email field
3. Leave Email with test data
4. Select Save button
5. Verify is enabled",User is redirected to dashboard,Positive,Invalid
TC-38,Verify Icons - Navigate Date of Birth is checked with invalid data,Test Case,Low,To Do,4,Web App,"Icons,Use Case,Regression",Automation Team,QA Team,"Verify Icons - Navigate Date of Birth is checked with invalid data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Navigate Date of Birth field
3. Fill in Date of Birth with test data
4. Click Login button
5. Verify is checked

**Expected Result:** Error message 'Page not found' is displayed","1. Navigate to app.vwo.com
2. Navigate Date of Birth field
3. Fill in Date of Birth with test data
4. Click Login button
5. Verify is checked",Error message 'Page not found' is displayed,Use Case,Invalid
TC-39,Verify Buttons - Blur Email is unchecked with leading spaces,Test Case,Low,To Do,6,Web App,"Buttons,Functional,Regression",QA Team,QA Team,"Verify Buttons - Blur Email is unchecked with leading spaces

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Blur Email field
3. Clear Email with test data
4. Click Next button
5. Verify is unchecked

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Blur Email field
3. Clear Email with test data
4. Click Next button
5. Verify is unchecked",Data is saved successfully,Functional,Boundary
TC-40,Verify Mobile View - Clear Phone Number is within range with valid data,Test Case,High,To Do,3,Web App,"Mobile View,Decision Table,Regression",Automation Team,QA Team,"Verify Mobile View - Clear Phone Number is within range with valid data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Clear Phone Number field
3. Clear Phone Number with test data
4. Click Cancel button
5. Verify is within range

**Expected Result:** User is redirected to dashboard","1. Navigate to app.vwo.com
2. Clear Phone Number field
3. Clear Phone Number with test data
4. Click Cancel button
5. Verify is within range",User is redirected to dashboard,Decision Table,Null
TC-41,Verify Desktop View - Enter Dropdown is hidden with multiple tabs,Test Case,High,To Do,8,Web App,"Desktop View,Use Case,Regression",Automation Team,QA Team,"Verify Desktop View - Enter Dropdown is hidden with multiple tabs

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Enter Dropdown field
3. Leave Dropdown with test data
4. Select Cancel button
5. Verify is hidden

**Expected Result:** Error message 'Passwords do not match' is displayed","1. Navigate to app.vwo.com
2. Enter Dropdown field
3. Leave Dropdown with test data
4. Select Cancel button
5. Verify is hidden",Error message 'Passwords do not match' is displayed,Use Case,Invalid
TC-42,Verify Forgot Password - Submit Dropdown is not selected with special characters,Test Case,Medium,To Do,3,Web App,"Forgot Password,Functional,Regression",Unassigned,QA Team,"Verify Forgot Password - Submit Dropdown is not selected with special characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Submit Dropdown field
3. Leave Dropdown with test data
4. Click Submit button
5. Verify is not selected

**Expected Result:** Dropdown is not selected","1. Navigate to app.vwo.com
2. Submit Dropdown field
3. Leave Dropdown with test data
4. Click Submit button
5. Verify is not selected",Dropdown is not selected,Functional,Null
TC-43,Verify Memory Usage - Blur Radio Button is within range with minimum characters,Test Case,High,To Do,8,Web App,"Memory Usage,Smoke,Regression",QA Team,QA Team,"Verify Memory Usage - Blur Radio Button is within range with minimum characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Blur Radio Button field
3. Clear Radio Button with test data
4. Click Login button
5. Verify is within range

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Blur Radio Button field
3. Clear Radio Button with test data
4. Click Login button
5. Verify is within range",Success message is displayed,Smoke,Valid
TC-44,Verify Email Verification - Refresh Security Question is within range with XSS,Test Case,Low,To Do,5,Web App,"Email Verification,State Transition,Regression",Automation Team,QA Team,"Verify Email Verification - Refresh Security Question is within range with XSS

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Refresh Security Question field
3. Leave Security Question with test data
4. Submit Register button
5. Verify is within range

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Refresh Security Question field
3. Leave Security Question with test data
4. Submit Register button
5. Verify is within range",Data is saved successfully,State Transition,Invalid
TC-45,Verify Performance - Enter Country is greater than with SQL injection,Test Case,Medium,To Do,6,Web App,"Performance,Use Case,Regression",Unassigned,QA Team,"Verify Performance - Enter Country is greater than with SQL injection

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Enter Country field
3. Clear Country with test data
4. Select Register button
5. Verify is greater than

**Expected Result:** Error message 'Permission denied' is displayed","1. Navigate to app.vwo.com
2. Enter Country field
3. Clear Country with test data
4. Select Register button
5. Verify is greater than",Error message 'Permission denied' is displayed,Use Case,Boundary
TC-46,Verify Cookies - Hover First Name matches with XSS,Test Case,Low,To Do,7,Web App,"Cookies,Boundary,Regression",Unassigned,QA Team,"Verify Cookies - Hover First Name matches with XSS

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Hover First Name field
3. Clear First Name with test data
4. Select Login button
5. Verify matches

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Hover First Name field
3. Clear First Name with test data
4. Select Login button
5. Verify matches",Success message is displayed,Boundary,Valid
TC-47,Verify Security - Download Phone Number does not contain with leading spaces,Test Case,Low,To Do,8,Web App,"Security,Smoke,Regression",Unassigned,QA Team,"Verify Security - Download Phone Number does not contain with leading spaces

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Download Phone Number field
3. Leave Phone Number with test data
4. Submit Next button
5. Verify does not contain

**Expected Result:** Error message 'Invalid URL' is displayed","1. Navigate to app.vwo.com
2. Download Phone Number field
3. Leave Phone Number with test data
4. Submit Next button
5. Verify does not contain",Error message 'Invalid URL' is displayed,Smoke,Null
TC-48,Verify Navigation - Scroll Address contains with maximum characters,Test Case,Low,To Do,7,Web App,"Navigation,Usability,Regression",QA Team,QA Team,"Verify Navigation - Scroll Address contains with maximum characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Scroll Address field
3. Clear Address with test data
4. Click Submit button
5. Verify contains

**Expected Result:** User is redirected to dashboard","1. Navigate to app.vwo.com
2. Scroll Address field
3. Clear Address with test data
4. Click Submit button
5. Verify contains",User is redirected to dashboard,Usability,Valid
TC-49,Verify Responsive Design - Select Security Question is unchecked with valid data,Test Case,Low,To Do,7,Web App,"Responsive Design,Positive,Regression",QA Team,QA Team,"Verify Responsive Design - Select Security Question is unchecked with valid data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Select Security Question field
3. Clear Security Question with test data
4. Submit Next button
5. Verify is unchecked

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Select Security Question field
3. Clear Security Question with test data
4. Submit Next button
5. Verify is unchecked",Data is saved successfully,Positive,Boundary
